"","Name","Peak_E_over_Flu","E_P_Over_S_Err","Hardness Ratio","t90","t90_err","Peak_E","Peak_E_err","Fluence","Fluence_Err","AG_fluence","AG_fluence_err","Classification."
"1",180720598,6.32849665279202,6.70594147820458,1.51606602274313,1.68928221447305,0.788804493044648,2.80348463375083,1.18825755001727,-3.52501201904119,-7.04451429411066,-4.94109191559701,-4.94109191559701,1
"2",101219686,7.31611233053324,6.3615821352159,-0.56708081690288,1.70764680953905,0.324488233307656,1.91697636684308,0.663739831156916,-5.39913596369016,-7.31039815755896,-5.28661156201567,-5.28661156201567,1
"3",90618353,5.74444059916569,5.91737936725544,0.423835986824116,2.0507122142452,0.82827311205207,2.17330400746494,0.516727425757842,-3.57113659170074,-6.36760345255024,-5.44712141312948,-5.44712141312948,1
"4",180620660,6.62702598064789,6.62702598064789,0.550176809680599,1.66951212969155,0.124504224834282,2.24459894860687,1.69712407027494,-5.04066758473179,-7.0296066279204,NA,NA,2
"5",180411519,6.54557948996086,6.54557948996086,-0.61492187170273,1.88969379144419,0.476541809027429,2.53199452714339,1.39486703891563,-4.69115823873868,-6.69387532926347,NA,NA,2
"6",180402406,8.10179864171828,8.10179864171828,0.428583588881514,-0.348721986001856,-0.486782399932061,3.12280251691468,2.18280596887766,-5.88190068792201,-7.55672136257168,-6.9639635782333,-6.9639635782333,2
"7",180102660,8.79174833359753,8.79174833359753,-0.748755999999979,1.12424330894665,0.637889816580791,1.75515050399737,0.824154807619378,-6.08312512146132,-7.48946839415092,-8.51633560749536,-8.51633560749536,2
"8",171222684,7.79471765554476,7.79471765554476,-1.06827599999994,1.90516961338506,0.664171705361931,2.3085637733232,0.537065034303987,-5.49661793652627,-7.42339377638972,-5.86708380740276,-5.86708380740276,2
"9",171120556,7.37588098589124,7.37588098589124,-5.81210069058769,1.64406420614318,-0.416801226031377,1.76563719205253,0.813678577115608,-4.79336298871646,-7.48192057189613,-6.28699756814648,-6.28699756814648,2
"10",170906030,7.20372932665853,7.20372932665853,0.924258918473211,1.89679618977353,-0.140261433802853,2.43805272030332,1.05238301582177,-4.02407672883179,-7.10617723023112,-5.62904543587856,-5.62904543587856,2
"11",170903534,7.53120102579812,7.53120102579812,-1.4089819290239,1.40823996531185,0.174059807725025,1.9806732144267,1.12650836844312,-5.46121269006629,-7.54072816635515,-7.21130684026548,-7.21130684026548,2
"12",170629537,8.14824789919373,8.14824789919373,-1.07181972828028,1.44963265047007,0.856487212868631,2.19477484042986,1.25683243651756,-5.35986653550551,-7.44045244441957,-Inf,-Inf,2
