number,name,Fermi name,Redshift,stage 2,stage 3,stage 2 start,stage 3 start,average decay rate after 200s,average decay rate after rs 200s,average decay rate after data available,plaw_index,nuFnu0,nuFnu1,,,
53,GRB090113,90113778,1.7493,Y,Y,110,545,-1.2338,-1.397375,0,2.09,4.17E-06,1.62E-06,,,
54,GRB081222,81222204,2.77,Y,Y,959,2773,-1.106619,-1.193208,0,1.93,1.67E-06,0,,,
55,GRB081221,81221681,2.26,Y,Y,225,728,-1.24819,-1.536974,0,2.209,0.000004,0.000005,,,
56,GRB080916A,80916406,0.6887,Y,Y,1600,29000,-1.112398,-1.070921,0,1.96,2.95E-07,2.17E-09,,,
57,GRB080905B,80905705,2.3739,Y,Y,187,16400,-1.066913,-1.183889,0,1.96,0.000011,0,,,
,,,,,,,,,,,,,,,,
,,,,,Mode:,542.2,8556.654545,-1.023680561,-1.057822235,,,,,,,
,,,,,Median:,256,4385,-1.067677,-1.010704,,,,,,,
,,,,,Q1:,131,1607,-1.259374,-1.248666,,,,,,,
,,,,,Q3:,656,10300,-0.8236605,-0.830271,,,,,,,
,,,,,Min:,71,0,-4.88,-2.234245,,,,,,,
,,,,,Max:,4708,70000,0,-0.323816,,,,,,,
