"","Name","Peak_E_over_Flu","E_P_Over_S_Err","t90","t90_err","Peak_E","Peak_E_Err","Fluence","Fluence_Err","Classification.","Redshift"
"1","180720598","6.36019013782875","6.60574916114044","1.68928221447305","-0.441291429466834","2.83517811878756","1.14114456254605","-3.52501201904119","-7.04451429411066","collapsar","0.654"
"2","101219686","7.2005862566678","6.23554828246584","1.70764680953905","0.249198357391113","1.80145029297764","1.20722761486958","-5.39913596369016","-7.31039815755896","collapsar","0.55185"
"3","90618353","5.89321399372684","6.28084832208034","2.0507122142452","0.0358298252528282","2.32207740202609","0.51809036206457","-3.57113659170074","-6.36760345255024","collapsar","0.54"
"4","150101641","8.72054010790674","6.81039274270149","-1.09691001300806","-0.0324520237811379","2.09728126292513","1.68632750662098","-6.6232588449816","-7.82128198089423","merger","0.1343"
"5","180620660","10.3497048763157","12.1363859581364","1.66951212969155","0.124504224834282","5.30903729158395","5.96890125747925","-5.04066758473179","-7.0296066279204","Unknown","1.1175"
"6","171222684","7.80518170984947","5.4745582590953","1.90516961338506","0.664171705361931","2.3085637733232","0.537065034303987","-5.49661793652627","-7.42339377638972","Unknown","2.409"
"7","170903534","7.43923855054054","6.55279864130687","1.40823996531185","0.174059807725025","1.97802586047425","1.12671408172842","-5.46121269006629","-7.54072816635515","Unknown","0.886"
"8","170705115","6.97827940223079","6.34000899701723","1.35757278405168","0.138933940256924","2.10480042777421","0.814604010539876","-4.87347897445659","-7.19994999333154","Unknown","2.01"
"9","170607971","7.07490544162146","6.68814506226084","1.32072772664417","0.321391278311689","2.04842121486244","0.955786044606754","-5.02648422675902","-7.23077780679992","Unknown","0.557"
"10","170113420","7.7185618922185","5.84643906918676","1.6915411940154","0.616580530085886","2.02757424099392","1.56482448775432","-5.69098765122457","-7.10179057506025","Unknown","1.968"
"11","161214722","7.18565389571668","8.44466085936846","1.35272263746202","0.209246848753374","1.67879116139665","1.01513374610368","-5.50686273432003","-7.42990092100804","Unknown","1.5"
"12","161117066","6.41228119248513","7.00022140733971","2.08699301164496","-0.18111458540599","1.90668626876481","0.48359471342874","-4.50559492372032","-6.97146941348867","Unknown","1.549"
"13","161014522","7.44275229164542","6.79371787356574","1.56358786599124","0.174059807725025","2.22794683353311","1.15899989413792","-5.21480545811231","-7.33076682450931","Unknown","2.823"
"14","161001045","8.32487776007987","8.44029833302789","0.350248018334163","-0.6345120151091","2.57125322408338","1.77527453168223","-5.75362453599649","-7.81781368326046","Unknown","0.891"
"15","160804065","6.64532050353704","6.50038817233024","2.11920968527961","1.33691980220023","1.8536274658907","0.620698814966704","-4.79169303764634","-6.60554831917378","Unknown","0.736"
"16","151111356","7.73057068248596","8.04735244323056","1.66591854018103","0.641672373224687","2.07425493131774","1.70185626779761","-5.65631575116823","-7.50772864205087","Unknown","3.5"
"17","151027166","6.92586137163702","6.94609201659738","2.09129404275846","0.0588054866759068","2.0741246012739","1.26648758683385","-4.85173677036312","-7.21489092812132","Unknown","0.81"
"18","150403913","6.99676412801228","6.48905165732611","1.34775921793047","-0.0915149811213502","2.73480702778027","1.23147825584446","-4.26195710023201","-7.25728272219275","Unknown","2.06"
"19","141220252","7.52558526520149","5.49198817808747","0.881726935376418","-0.0347982989740879","2.25301264732544","1.0028547688211","-5.27257261787605","-7.45505185064857","Unknown","1.32"
"20","141004973","8.18811820690829","7.6199904272455","0.40823996531185","-0.216811308924742","2.25952149043976","1.74514625682603","-5.92859671646853","-7.48109142630859","Unknown","0.573"
"21","140703026","7.44099450709404","6.54207451478413","1.92411898113547","0.476541809027429","2.3198723240598","1.54068690096423","-5.12112218303424","-7.2933675491267","Unknown","3.14"
"22","140512814","7.37194801876463","6.15811147681467","2.17017367380627","0.372912002970107","2.83948213261422","1.76520175400626","-4.53246588615041","-7.08962642724559","Unknown","0.725"
"23","140304557","7.70253859860722","7.23880537379298","1.4945997959866","0.940466677663529","2.08789458928802","1.49741871459572","-5.61464400931919","-7.49968117625361","Unknown","5.283"
"24","140206304","6.9928326876682","6.48163713385514","1.43558957308661","0.0944711286416448","2.18372440459037","0.664080319812382","-4.80910828307783","-7.12622615459473","Unknown","2.73"
"25","131105087","7.0531534379625","7.68229825724233","2.05170035292422","-0.335358024443874","2.42931049574575","1.26268715835119","-4.62384294221675","-6.95561705292646","Unknown","1.686"
"26","130528695","7.038395553699","6.44978156097561","1.74470751689103","0.270445908017963","2.08344456668796","0.841510383466353","-4.95495098701104","-6.92009553233328","Unknown","1.25"
"27","130420313","6.65803255587557","5.95797215002433","2.02103209738113","0.944926609986216","1.72222839174021","0.570353303259652","-4.93580416413536","-6.61392929759382","Unknown","1.297"
"28","121211574","8.19818537306762","6.619483932728","0.750662646134056","0.234770295160917","2.00534141197406","1.14169334899048","-6.19284396109355","-7.40316108617484","Unknown","1.023"
"29","121128212","6.66141725076148","6.4549142862258","1.23914926485829","-0.0347982989740879","1.62980212174581","0.727753391409926","-5.03161512901567","-6.94389590257755","Unknown","2.2"
"30","120922939","6.64200470947819","7.08911357680169","2.26072710690738","1.29616041353726","1.55624205724593","0.608560904098692","-5.08576265223226","-6.77296215506977","Unknown","3.1"
"31","120907017","8.2000428455903","6.39977765079663","0.760422483423212","0.249931756634195","2.10806651672934","1.48083677379795","-6.09197632886096","-7.38893553520003","Unknown","0.97"
"32","120811649","7.20607058858308","6.2402733546272","1.15642799231805","0.816705183666515","1.74346147225998","0.594497077892055","-5.46260911632309","-6.67501829691263","Unknown","2.671"
